Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
FPT,HOSE,10/06/2021,,56068,56617,55588,56206,2214900,180827810000.0010
FPT,HOSE,11/06/2021,,55931,57578,55794,57304,2359600,196386980000.0010
FPT,HOSE,14/06/2021,,57304,58059,56961,57510,2547600,213138169999.9980
FPT,HOSE,15/06/2021,,57510,57990,57098,57098,1778700,149028530000
FPT,HOSE,16/06/2021,,57098,58059,56755,57029,2462000,205596079999.9980
FPT,HOSE,17/06/2021,,56343,57029,56343,56686,2236400,184752889999.9990
FPT,HOSE,18/06/2021,,57029,57784,56755,57510,1681700,140729740000
FPT,HOSE,21/06/2021,,57372,59225,57098,58745,3878300,329825809999.9960
FPT,HOSE,22/06/2021,,59088,59431,58608,58608,1760300,151360790000.0010
FPT,HOSE,23/06/2021,,58539,58745,57716,58265,1599900,135686140000
FPT,HOSE,24/06/2021,,57853,58265,57578,58127,1657800,139729579999.9980
FPT,HOSE,25/06/2021,,58127,58608,57784,58470,1503400,127725250000
FPT,HOSE,28/06/2021,,59088,59088,58608,58814,1858800,159514950000.0010
FPT,HOSE,29/06/2021,,59431,61078,59225,60804,4897800,432878999999.9860
FPT,HOSE,30/06/2021,,61078,61147,60392,60392,1651100,146066810000.0010
FPT,HOSE,01/07/2021,,60461,61010,60392,61010,1700100,150522440000
FPT,HOSE,02/07/2021,,61284,63480,61010,63068,3873500,350282920000.0030
FPT,HOSE,05/07/2021,,65196,65196,62451,63617,2961100,271027880000.0020
FPT,HOSE,06/07/2021,,63480,63823,59706,59706,2640500,239707929999.9990
FPT,HOSE,07/07/2021,,59706,62451,58333,62108,4910200,431756550000.0010
FPT,HOSE,08/07/2021,,62039,62108,61078,61627,2375400,213068290000.0010
FPT,HOSE,09/07/2021,,61490,63137,60941,61559,2947000,266629989999.9990
FPT,HOSE,12/07/2021,,60941,61559,57372,59088,6764400,580499090000.01
FPT,HOSE,13/07/2021,,59637,59912,58333,59706,2207400,191102630000.0010
FPT,HOSE,14/07/2021,,60117,60117,58127,58470,2433500,209143579999.9990
FPT,HOSE,15/07/2021,,58127,59431,58127,58608,2714600,231948459999.9990
FPT,HOSE,16/07/2021,,58951,60392,58676,59568,2285700,197405900000.0010
FPT,HOSE,19/07/2021,,58470,59294,57990,58127,3288800,280426810000.0010
FPT,HOSE,20/07/2021,,58196,59568,57578,59568,2553700,217495389999.9990
FPT,HOSE,21/07/2021,,59568,60323,59088,59431,3369200,292780470000.0010
FPT,HOSE,22/07/2021,,59157,61490,59157,61353,4445600,394783729999.9980
FPT,HOSE,23/07/2021,,61353,63755,60872,62108,6755700,615896519999.9930
FPT,HOSE,26/07/2021,,61970,64441,61902,64304,5773100,531680619999.9880
FPT,HOSE,27/07/2021,,64784,65127,63480,63961,5007000,468991520000.0020
FPT,HOSE,28/07/2021,,63686,64304,62931,63137,3346700,309296830000.0030
