Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
MWG,HOSE,24/06/2021,,47056,47743,47023,47089,394400,56900720000
MWG,HOSE,25/06/2021,,47089,47416,46925,46990,717200,103423490000
MWG,HOSE,28/06/2021,,47252,47743,46990,47579,669700,96803220000.0003
MWG,HOSE,29/06/2021,,47579,48233,47416,48070,556700,81756369999.9997
MWG,HOSE,30/06/2021,,48070,50326,48070,49705,1221500,183765920000
MWG,HOSE,01/07/2021,,49705,49868,49214,49410,727200,110162890000.0010
MWG,HOSE,02/07/2021,,49378,51340,49378,51274,964000,149591760000.0010
MWG,HOSE,05/07/2021,,52648,54610,52648,54446,1355400,223170060000
MWG,HOSE,06/07/2021,,55100,55820,50686,50686,956200,158784540000
MWG,HOSE,07/07/2021,,52321,54217,50686,54217,1457700,235464559999.9990
MWG,HOSE,08/07/2021,,56245,57291,54773,56408,1585700,272279810000
MWG,HOSE,09/07/2021,,56277,58828,56179,57716,1012200,178539160000
MWG,HOSE,12/07/2021,,57553,58501,53956,57749,1907000,328663950000
MWG,HOSE,13/07/2021,,58305,58305,56245,57226,651400,113787540000
MWG,HOSE,14/07/2021,,56572,56866,53759,54446,1384700,232701130000.0010
MWG,HOSE,15/07/2021,,53923,55918,53302,54642,1104100,183457670000
MWG,HOSE,16/07/2021,,54969,55100,54283,54969,679400,113422100000
MWG,HOSE,19/07/2021,,52746,53302,51176,51176,1868000,297093899999.9990
MWG,HOSE,20/07/2021,,51667,53825,51176,53825,1053200,169695880000
MWG,HOSE,21/07/2021,,54283,54479,53007,53432,520200,84966930000.0004
MWG,HOSE,22/07/2021,,53138,55067,52909,54021,982100,161621460000
MWG,HOSE,23/07/2021,,53334,54021,52648,52877,1223900,198830680000.0010
MWG,HOSE,26/07/2021,,52451,52648,51634,52419,1139800,181513850000.0010
MWG,HOSE,27/07/2021,,52975,52975,51340,51667,1477400,234626979999.9980
MWG,HOSE,28/07/2021,,51601,52484,51045,51372,455700,71924140000.0001
MWG,HOSE,29/07/2021,,52255,53236,51013,53236,1317800,208738050000
MWG,HOSE,30/07/2021,,52811,53923,52157,53661,1779200,289347970000.0010
MWG,HOSE,02/08/2021,,53629,56408,53465,55558,1632800,275265000000
MWG,HOSE,03/08/2021,,55558,55591,54937,55558,868900,146983460000
MWG,HOSE,04/08/2021,,55623,55885,55100,55591,829400,140482660000
MWG,HOSE,05/08/2021,,55460,56997,55264,56572,989800,168712920000
MWG,HOSE,06/08/2021,,56572,57389,56081,56081,1032700,178968470000
MWG,HOSE,09/08/2021,,55918,56964,55427,56833,638000,109677870000
MWG,HOSE,10/08/2021,,56899,56964,56114,56866,882000,152514710000
MWG,HOSE,11/08/2021,,56899,58632,56441,57226,1670800,295370389999.9990
MWG,HOSE,12/08/2021,,56735,57226,55591,55591,1172100,201855290000
MWG,HOSE,13/08/2021,,55427,55918,54740,55918,1116800,188070230000
MWG,HOSE,16/08/2021,,56081,56245,54937,55623,1029800,174566100000
MWG,HOSE,17/08/2021,,55558,55623,54904,55558,1104300,186851840000.0010
MWG,HOSE,18/08/2021,,55264,56735,55133,56408,864600,148082590000
MWG,HOSE,19/08/2021,,56408,56408,55427,56408,785700,135026650000
MWG,HOSE,20/08/2021,,56245,56245,53629,53629,2037300,341325360000
MWG,HOSE,23/08/2021,,53302,53629,51667,51699,1619300,259879790000
MWG,HOSE,24/08/2021,,51928,53105,51699,52484,1060900,169197319999.9990
